airmass,ra,dec,ifilter,depth,exposure,expnum,date_obs,pi,prop_id,instrument,obs_type,object,proc_type,prod_type
1.09,335.1999917,-27.842,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241670,2023-09-23T01:14:30.595893+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.12,336.4260167,-19.931,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241669,2023-09-23T01:12:44.412415+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.15,338.9110042,-24.38,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241662,2023-09-23T01:01:09.295246+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.21,337.2320083,-21.415,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241648,2023-09-23T00:37:41.582240+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.19,337.4160167,-18.322,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241658,2023-09-23T00:53:46.049771+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.02,341.1645917,-18.41852,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242019,2023-09-24T03:26:43.436014+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.01,341.8445083,-22.8836,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242014,2023-09-24T03:17:37.118767+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.02,341.9943583,-19.84703,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242020,2023-09-24T03:28:12.161113+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.01,334.48425,-24.68,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242008,2023-09-24T03:08:02.262535+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1,333.47625,-28.33239,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241993,2023-09-24T02:42:20.081422+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.08,337.9929917,-29.215,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241677,2023-09-23T01:25:42.629285+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.22,340.728,-24.201,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241652,2023-09-23T00:44:20.595842+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.06,333.6440083,-21.664,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241682,2023-09-23T01:34:01.920455+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.12,340.1920208,-16.598,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241683,2023-09-23T01:35:43.737991+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.01,333.3189917,-31.135,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241702,2023-09-23T02:06:25.205964+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.06,341.685,-28.835,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241695,2023-09-23T01:55:24.081525+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.03,331.635,-24.895,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241693,2023-09-23T01:52:11.705142+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.05,332.8610083,-20.156,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241690,2023-09-23T01:47:31.862413+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.14,339.0201917,-27.85963,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241943,2023-09-24T01:00:52.684752+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.31,335.5486042,-21.91381,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241918,2023-09-23T23:59:12.501053+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.44,339.1704583,-21.61609,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241912,2023-09-23T23:47:50.107302+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.27,334.48425,-24.68,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241919,2023-09-24T00:01:01.843731+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.42,337.2204458,-24.88522,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241907,2023-09-23T23:39:00.461808+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.19,340.3442417,-16.98093,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241945,2023-09-24T01:05:04.870869+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.13,336.7445708,-17.22838,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241949,2023-09-24T01:13:16.751659+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.06,334.9623292,-17.33943,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241970,2023-09-24T01:55:02.075367+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.07,344.5682417,-24.0981,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241974,2023-09-24T02:03:22.769038+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.04,333.9622958,-18.93534,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241971,2023-09-24T01:56:51.077258+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1,338.1015583,-26.37142,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242003,2023-09-24T02:59:57.702582+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.02,340.1638792,-20.00737,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242011,2023-09-24T03:12:40.556751+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.04,345.705375,-19.51086,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241992,2023-09-24T02:40:02.926965+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.02,340.2266708,-32.55866,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241985,2023-09-24T02:25:59.033885+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.05,339.5322583,-15.53527,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241990,2023-09-24T02:35:56.640529+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.01,339.9333458,-26.18266,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242025,2023-09-24T03:36:31.024431+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.03,334.7467667,-20.42659,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242026,2023-09-24T03:38:11.858704+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.02,342.6970958,-27.42709,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242044,2023-09-24T04:07:52.829010+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.04,338.5378792,-17.10789,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242032,2023-09-24T03:47:56.820525+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.01,342.7150042,-24.31613,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242034,2023-09-24T03:51:34.460409+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.03,342.9985333,-18.2689,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242036,2023-09-24T03:54:58.710860+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.11,339.571275,-13.568,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242061,2023-09-24T04:34:35.017951+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.14,337.7942708,-13.672,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242068,2023-09-24T04:46:07.161676+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.13,335.9577,-15.75236,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242064,2023-09-24T04:39:04.301696+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.14,331.6121833,-28.43921,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242070,2023-09-24T04:50:10.428792+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.11,343.6736833,-28.88279,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242086,2023-09-24T05:26:55.925856+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.16,338.5378792,-17.10789,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241946,2023-09-24T01:06:53.291356+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.19,341.7681458,-25.97339,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241939,2023-09-24T00:53:05.470180+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.09,333.7467917,-22.03947,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241947,2023-09-24T01:08:50.993101+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.16,340.8586333,-27.65362,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241942,2023-09-24T00:59:03.661434+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.03,332.522475,-29.97829,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241962,2023-09-24T01:39:13.079220+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.21,339.3456917,-18.56166,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241937,2023-09-24T00:48:57.646953+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.15,338.1353417,-29.54656,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241938,2023-09-24T00:51:13.293487+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.08,344.005275,-14.772,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241982,2023-09-24T02:19:39.514953+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.03,336.4243792,-32.92231,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241973,2023-09-24T02:01:06.906478+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.13,334.9623292,-17.33943,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242065,2023-09-24T04:40:34.984043+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.08,340.1638792,-20.00737,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1242067,2023-09-24T04:44:05.902477+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.1,339.5322583,-15.53527,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242062,2023-09-24T04:36:04.419361+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.15,331.9471042,-22.14764,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242069,2023-09-24T04:48:29.837591+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.04,345.705375,-19.51086,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242057,2023-09-24T04:28:29.385481+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.44,338.1883208,-23.2427,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241909,2023-09-23T23:42:21.292531+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.35,338.3484583,-20.15925,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241921,2023-09-24T00:04:51.385096+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.16,250.1435833,-20.40861,r DECam SDSS c0002 6415.0 1480.0,22.9,5,1241902,2023-09-23T23:23:07.106680+0000,Palmese,2022B-715089,decam,object,pointing,raw,image
1.02,338.3484583,-20.15925,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242010,2023-09-24T03:11:11.174611+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.02,339.3456917,-18.56166,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242022,2023-09-24T03:31:22.873380+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.01,339.4662167,-34.27018,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241995,2023-09-24T02:46:30.810832+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.01,340.9964833,-21.44802,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242004,2023-09-24T03:01:33.808993+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.01,334.5594,-23.53886,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242012,2023-09-24T03:14:19.004429+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.12,340.2266708,-32.55866,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242082,2023-09-24T05:20:50.276349+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.13,341.0114417,-30.84212,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242085,2023-09-24T05:25:25.717050+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.39,337.2204458,-24.88522,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241910,2023-09-23T23:44:10.276387+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.3,336.2688458,-26.53866,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241917,2023-09-23T23:57:17.694763+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.26,337.0459958,-27.701,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241924,2023-09-24T00:10:34.659054+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.02,333.5744417,-25.17077,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241975,2023-09-24T02:05:43.357302+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.04,335.3839792,-31.39226,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241964,2023-09-24T01:42:52.574829+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.12,343.69215,-22.68581,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241959,2023-09-24T01:32:53.913725+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.11,342.1852667,-14.898,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241969,2023-09-24T01:52:58.983476+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
